We need your help planting native trees and shrubs @ Upper Fanno Wetlands (Beaverton),10905 SW Denney Rd,Beaverton,OR,97008,"Wanting to get out and make a difference in your community? Well now is your chance to support and create a healthier community with other volunteers! One tree at a time. Friends of Trees is excited to continue our partnership this season with the City of Beaverton and Clean Water Services. This planting is part of the Tree For All campaign which has planted over three million native plants in the Tualatin River Watershed in the past decade! Clean Water Services, Friends of Trees, thousands of volunteers, other non-profits, city partners, and private landowners will be working together this season to continue the success of this program. 
   ",2018,4,25,9,0,240,environment,Environment & Nature,"Please arrive around 8:45am to be registered and assigned to a crew. There will be a short walk from the parking lot to the project area. The event will start promptly at 9:00am. We provide breakfast snacks and hot chocolate/coffe e, as well as gloves, tools and guidance. Please come dressed for the weather and wearing sturdy, closed-toe shoes and get ready to have fun! ",2
Annual Book Sale - Need Help!,12375 SW 5th Street,Beaverton,OR,97005,"We are looking for volunteers to assist us during our annual book sale. Assistance is needed in the following areas: Set up, sales, keeping items organized and neat during event, and clean up. Weekday, Evening, and Weekend shifts available.",2017,10,11,10,0,480,community,Community,"contact Beaverton City Library Volunteer Manager, Jennifer Johnson at: jjohnson@beavertonoregon.gov",3
Volunteer Fair for Portland Film Festival,1801 NW Northup St,Portland,OR,97209,"Meet the people behind the Portland Film Festival (Oct 30 - Nov 5). Each team of the festival will have a table with information about open positions and more:
Learn about the festival and the many events we are hosting and volunteer opportunities both before and during the festival.",2017,10,18,17,30,180,arts_culture,Arts & Culture,"Whether you want to work before or during the festival, we can use your help. Come out and join us for snacks, beverages and networking on Wednesday October 18th from 5:30 to 8:30pm.",4
Portland Film Festival Production Team **Event: Film Industry Speed Networking**,4720 SE 26th Ave,Portland,OR,97202,"Hello, the Production Team is seeking volunteers.  What we do: Event setup and tear down, other support needed to provide an outstanding experience for festival-goers!  ",2017,10,30,15,0,510,arts_culture,Arts & Culture,Questions or want to sign up for a shift? Email valerie@portlandfilm.org,4
Saturday Academy Event Volunteer at TRIO Open House 10/25/2017,17705 NW Springville Rd,Portland,OR,97229,"Position Summary: Volunteer would attend the TRIO open house event at PCC Rock Creek campus from 6-7:45pm. TRIO open house is hosting the programs participants and their families in a educational resources event. Volunteers would attend to Saturday Academy's table, explain our services and programs, and answer questions. Volunteers would be trained on Saturday Academy's various programs and provided a 'Frequently Asked Questions' sheet prior to the event. Volunteers are required to provide their own transportation to and from the event.",2017,10,25,18,0,105,education_lit,Education & Literacy,"If you are interested in getting involved, please e-mail vista@saturdayacademy.org",5
Saturday Academy Bi-Lingual Volunteer,5000 N Willamette Boulevard,Portland,OR,97203,"Position Summary: Saturday Academy is looking for volunteers who are bi-lingual in English and another language. Tasks would include translating our materials into other languages. We strive to make Saturday Academy accessible to all and believe that language shouldn’t be a barrier, help us create more equitable opportunities. Gain valuable experience in the realm of capacity building for an educational non-profit.",null,null,null,null,null,null,education_lit,Education & Literacy,"If you are interested in getting involved, please e-mail vista@saturdayacademy.org",5
Grim Hollow Spooky Trail HELP NEEDED!,41401 SE Thomas Rd,Sandy,OR,97055,Character Volunteers Needed for Spooky Haunted House fundraiser for The Relay For Life of Mt Hood Territory and the American Cancer Society. Arrival will be at 5pm and an area to get dressed and into character will be available. The following Characters are needed for the first night 10/26 (as well as other nights through that weekend):,2017,10,26,17,0,315,community,Community,"If you have any questions, please reach out to us! Thank you for the help!",6
Office Volunteer - American Cancer Society,0330 SW Curry St.,Portland,OR,97239,"We are currently looking for someone interested in volunteer in our office to help with different office tasks. Such as folding, stapling, sorting, copying, Data entry, organizing, cleaning, etc. This opportunity can be a one time or reoccuring volunteer opporunity. One hour, or five hours. We have plenty of work that we need help with. ",null,null,null,null,null,null,health_med,Health & Medicine,Please contact Whitney with questions.,6
Making Strides Against Breast Cancer - Clean up Crew,5000 N Willamette Drive,Portland,OR,97203,"When the fun comes to an end, it's time to pack things up. Clean-up crew will assist taking down the decor, packing up materials and returning the park to it's normal sate.",2017,10,14,12,0,120,health_med,Health & Medicine,Register at: https://pdxstridesvolunteers.eventbrite.com,6
Help a pet - assist a volunteer vet!,1131 SE Oak St,Portland,OR,97214,"PAW Team needs your help! We are actively seeking CVTs and veterinary assistants to help us at our constantly growing weekday clinics! Whether you are an experienced CVT or someone just looking to dip your hands in the field, we would love to have you! Our clinics run from 10am to 2pm on various weekdays.",null,null,null,null,null,null,animals,Animals,Contact Maia Shwartz at (503)206-6033,7
